Date,Mean Temp (Â°C),Total Rain (mm),Total Snow (cm)
2017-01-01,0.3,0.0,0.0
2017-01-02,-1.8,0.0,0.0
2017-01-03,-5.5,0.0,0.0
2017-01-04,-4.0,0.0,0.0
2017-01-05,-3.8,0.0,0.0
2017-01-06,-0.5,1.0,0.0
2017-01-07,-2.5,0.0,0.0
2017-01-08,1.3,18.0,0.0
2017-01-09,2.5,2.0,0.0
2017-01-10,1.5,0.0,0.0
2017-01-11,-3.5,0.0,0.0
2017-01-12,-4.8,0.0,0.0
2017-01-13,-3.8,0.0,0.0
2017-01-14,-2.3,0.0,0.0
2017-01-15,0.8,0.0,0.0
2017-01-16,1.8,12.2,0.0
2017-01-17,5.5,47.0,0.0
2017-01-18,9.0,39.0,0.0
2017-01-19,7.5,12.6,0.0
2017-01-20,5.3,2.0,0.0
2017-01-21,7.3,0.2,0.0
2017-01-22,4.3,5.2,0.0
2017-01-23,3.3,0.0,0.0
2017-01-24,1.0,0.0,0.0
2017-01-25,2.5,0.0,0.0
2017-01-26,,0.0,0.0
2017-01-27,4.8,0.0,0.0
2017-01-28,4.5,0.0,0.0
2017-01-29,5.0,2.4,0.0
2017-01-30,4.5,0.4,0.0
2017-01-31,2.8,0.0,0.0
2017-02-01,1.0,0.0,0.0
2017-02-02,0.8,0.0,0.0
2017-02-03,-1.3,6.0,22.0
2017-02-04,1.0,106.0,0.6
2017-02-05,0.0,2.3,1.0
2017-02-06,-1.0,2.8,2.6
2017-02-07,0.3,0.0,0.0
2017-02-08,-3.0,14.0,0.0
2017-02-09,2.5,11.4,0.0
2017-02-10,4.5,4.0,0.0
2017-02-11,3.0,1.0,0.0
2017-02-12,3.5,0.0,0.0
2017-02-13,4.0,0.0,0.0
2017-02-14,4.8,24.0,0.0
2017-02-15,5.8,18.4,0.0
2017-02-16,,0.0,0.0
2017-02-17,,1.0,0.0
2017-02-18,4.0,26.0,0.0
2017-02-19,6.3,6.2,0.0
2017-02-20,7.5,0.0,0.0
2017-02-21,5.0,0.0,0.0
2017-02-22,4.0,0.0,0.0
2017-02-23,,4.0,0.0
2017-02-24,5.3,0.0,0.0
2017-02-25,1.5,2.4,0.0
2017-02-26,4.3,0.0,0.0
2017-02-27,0.5,0.0,0.0
2017-02-28,2.0,4.8,0.0
2017-03-01,5.8,1.4,0.0
2017-03-02,6.0,19.2,0.0
2017-03-03,,7.2,0.0
2017-03-04,,0.6,0.0
2017-03-05,2.0,24.4,0.0
2017-03-06,3.5,8.0,0.0
2017-03-07,,9.2,0.0
2017-03-08,3.8,4.8,0.0
2017-03-09,3.3,13.4,0.0
2017-03-10,7.5,1.8,0.0
2017-03-11,6.5,134.0,0.0
2017-03-12,7.8,23.4,0.0
2017-03-13,8.8,4.8,0.0
2017-03-14,10.5,4.8,0.0
2017-03-15,10.5,4.8,0.0
2017-03-16,6.3,3.4,0.0
2017-03-17,6.8,22.8,0.0
2017-03-18,7.5,0.6,0.0
2017-03-19,5.5,0.0,0.0
2017-03-20,,0.0,0.0
2017-03-21,8.3,6.8,0.0
2017-03-22,9.3,5.2,0.0
2017-03-23,8.8,10.0,0.0
2017-03-24,8.0,7.0,0.0
2017-03-25,9.3,0.0,0.0
2017-03-26,8.0,19.4,0.0
2017-03-27,9.5,23.0,0.0
2017-03-28,8.3,61.2,0.0
2017-03-29,10.5,14.6,0.0
2017-03-30,9.8,0.0,0.0
2017-03-31,8.0,12.0,0.0
2017-04-01,8.8,44.0,0.0
2017-04-02,9.5,0.0,0.0
2017-04-03,6.3,0.0,0.0
2017-04-04,9.0,14.6,0.0
2017-04-05,9.0,17.0,0.0
2017-04-06,10.3,13.6,0.0
2017-04-07,,12.8,0.0
2017-04-08,,176.0,0.0
2017-04-09,8.5,4.2,0.0
2017-04-10,9.5,5.8,0.0
2017-04-11,9.0,0.5,0.0
2017-04-12,9.5,27.6,0.0
2017-04-13,10.5,3.6,0.0
2017-04-14,10.8,5.7,0.0
2017-04-15,10.5,0.0,0.0
2017-04-16,8.8,0.2,0.0
2017-04-17,12.8,4.8,0.0
2017-04-18,13.0,5.0,0.0
2017-04-19,11.3,14.6,0.0
2017-04-20,12.8,0.6,0.0
2017-04-21,12.0,0.0,0.0
2017-04-22,12.8,13.3,0.0
2017-04-23,11.8,21.3,0.0
2017-04-24,11.0,0.8,0.0
2017-04-25,11.3,4.0,0.0
2017-04-26,12.3,0.3,0.0
2017-04-27,11.3,0.0,0.0
2017-04-28,10.5,0.0,0.0
2017-04-29,9.0,78.0,0.0
2017-04-30,10.3,0.0,0.0
2017-05-01,8.8,4.3,0.0
2017-05-02,10.8,18.0,0.0
2017-05-03,12.8,17.8,0.0
2017-05-04,17.0,4.3,0.0
2017-05-05,14.8,0.2,0.0
2017-05-06,12.0,0.0,0.0
2017-05-07,10.0,0.0,0.0
2017-05-08,12.0,0.0,0.0
2017-05-09,11.0,0.0,0.0
2017-05-10,13.8,12.3,0.0
2017-05-11,13.3,28.5,0.0
2017-05-12,12.3,18.6,0.0
2017-05-13,11.3,0.0,0.0
2017-05-14,,2.2,0.0
2017-05-15,9.8,32.8,0.0
2017-05-16,,0.6,0.0
2017-05-17,12.3,0.0,0.0
2017-05-18,15.3,0.0,0.0
2017-05-19,14.5,0.0,0.0
2017-05-20,14.5,0.0,0.0
2017-05-21,15.0,0.0,0.0
2017-05-22,17.8,0.0,0.0
2017-05-23,17.0,0.0,0.0
2017-05-24,14.8,0.0,0.0
2017-05-25,,0.0,0.0
2017-05-26,,0.0,0.0
2017-05-27,18.5,0.0,0.0
2017-05-28,20.3,0.0,0.0
2017-05-29,18.8,0.0,0.0
2017-05-30,13.3,11.3,0.0
2017-05-31,16.0,2.5,0.0
2017-06-01,16.5,2.4,0.0
2017-06-02,16.8,0.6,0.0
2017-06-03,15.8,0.0,0.0
2017-06-04,14.3,0.0,0.0
2017-06-05,14.0,0.0,0.0
2017-06-06,17.3,0.0,0.0
2017-06-07,20.3,2.5,0.0
2017-06-08,13.5,250.0,0.0
2017-06-09,14.3,0.0,0.0
2017-06-10,14.3,0.0,0.0
2017-06-11,15.5,0.0,0.0
2017-06-12,17.8,0.0,0.0
2017-06-13,14.3,0.0,0.0
2017-06-14,14.0,0.0,0.0
2017-06-15,12.5,146.0,0.0
2017-06-16,16.0,0.0,0.0
2017-06-17,14.5,0.0,0.0
2017-06-18,14.0,2.1,0.0
2017-06-19,16.8,0.0,0.0
2017-06-20,17.8,0.4,0.0
2017-06-21,17.3,0.0,0.0
2017-06-22,15.3,0.0,0.0
2017-06-23,17.0,0.0,0.0
2017-06-24,20.0,0.0,0.0
2017-06-25,21.3,0.0,0.0
2017-06-26,20.0,0.0,0.0
2017-06-27,16.8,0.0,0.0
2017-06-28,17.3,0.0,0.0
2017-06-29,18.0,0.0,0.0
2017-06-30,20.0,0.0,0.0
2017-07-01,18.3,0.0,0.0
2017-07-02,18.5,0.0,0.0
2017-07-03,17.5,0.0,0.0
2017-07-04,17.3,0.0,0.0
2017-07-05,18.8,0.0,0.0
2017-07-06,20.3,0.0,0.0
2017-07-07,18.8,0.0,0.0
2017-07-08,18.3,0.0,0.0
2017-07-09,20.3,0.0,0.0
2017-07-10,20.3,0.0,0.0
2017-07-11,18.0,0.0,0.0
2017-07-12,18.5,0.0,0.0
2017-07-13,19.5,0.2,0.0
2017-07-14,18.5,0.0,0.0
2017-07-15,20.0,0.0,0.0
2017-07-16,18.0,0.0,0.0
2017-07-17,16.5,0.0,0.0
2017-07-18,18.8,0.0,0.0
2017-07-19,19.5,2.0,0.0
2017-07-20,20.3,0.5,0.0
2017-07-21,17.3,2.2,0.0
2017-07-22,19.0,0.3,0.0
2017-07-23,19.3,0.0,0.0
2017-07-24,18.5,0.0,0.0
2017-07-25,20.5,0.0,0.0
2017-07-26,18.8,0.0,0.0
2017-07-27,19.0,0.0,0.0
2017-07-28,,0.0,0.0
2017-07-29,19.3,0.0,0.0
2017-07-30,21.8,0.0,0.0
2017-07-31,18.5,0.0,0.0
2017-08-01,21.5,0.0,0.0
2017-08-02,21.8,0.0,0.0
2017-08-03,22.0,0.0,0.0
2017-08-04,19.5,0.0,0.0
2017-08-05,18.8,0.0,0.0
2017-08-06,19.5,0.0,0.0
2017-08-07,,0.0,0.0
2017-08-08,,0.0,0.0
2017-08-09,22.0,0.0,0.0
2017-08-10,21.8,0.0,0.0
2017-08-11,21.8,0.0,0.0
2017-08-12,19.0,10.0,0.0
2017-08-13,19.8,2.0,0.0
2017-08-14,18.0,0.0,0.0
2017-08-15,18.3,0.0,0.0
2017-08-16,18.3,0.0,0.0
2017-08-17,19.0,0.0,0.0
2017-08-18,19.5,0.0,0.0
2017-08-19,19.5,0.0,0.0
2017-08-20,18.5,0.0,0.0
2017-08-21,18.8,0.0,0.0
2017-08-22,21.8,0.0,0.0
2017-08-23,20.8,0.0,0.0
2017-08-24,20.3,0.0,0.0
2017-08-25,17.3,0.0,0.0
2017-08-26,18.3,0.0,0.0
2017-08-27,19.3,0.0,0.0
2017-08-28,21.5,0.0,0.0
2017-08-29,22.5,0.0,0.0
2017-08-30,19.5,0.0,0.0
2017-08-31,19.0,0.0,0.0
2017-09-01,19.0,0.0,0.0
2017-09-02,22.0,0.0,0.0
2017-09-03,21.3,0.0,0.0
2017-09-04,24.5,0.0,0.0
2017-09-05,20.8,0.0,0.0
2017-09-06,22.0,0.0,0.0
2017-09-07,21.0,0.0,0.0
2017-09-08,19.5,32.0,0.0
2017-09-09,14.8,5.2,0.0
2017-09-10,16.5,0.0,0.0
2017-09-11,18.3,0.0,0.0
2017-09-12,18.0,0.0,0.0
2017-09-13,16.5,0.0,0.0
2017-09-14,14.3,0.0,0.0
2017-09-15,15.3,0.0,0.0
2017-09-16,16.5,0.0,0.0
2017-09-17,12.3,5.4,0.0
2017-09-18,13.0,1.4,0.0
2017-09-19,13.3,5.5,0.0
2017-09-20,13.0,0.0,0.0
2017-09-21,14.3,0.0,0.0
2017-09-22,13.3,0.0,0.0
2017-09-23,15.3,0.0,0.0
2017-09-24,14.5,0.0,0.0
2017-09-25,15.8,0.8,0.0
2017-09-26,15.5,0.0,0.0
2017-09-27,15.3,0.0,0.0
2017-09-28,18.5,0.0,0.0
2017-09-29,18.0,8.6,0.0
2017-09-30,12.5,3.6,0.0
2017-10-01,11.0,0.0,0.0
2017-10-02,11.8,0.0,0.0
2017-10-03,11.5,0.0,0.0
2017-10-04,10.8,0.0,0.0
2017-10-05,10.8,0.0,0.0
2017-10-06,9.0,4.0,0.0
2017-10-07,11.3,0.2,0.0
2017-10-08,10.3,0.0,0.0
2017-10-09,11.0,0.0,0.0
2017-10-10,9.0,5.4,0.0
2017-10-11,9.3,1.2,0.0
2017-10-12,7.3,27.2,0.0
2017-10-13,9.0,6.0,0.0
2017-10-14,6.5,0.0,0.0
2017-10-15,11.8,4.0,0.0
2017-10-16,10.8,8.2,0.0
2017-10-17,12.5,4.4,0.0
2017-10-18,9.5,49.2,0.0
2017-10-19,11.5,16.8,0.0
2017-10-20,10.0,174.0,0.0
2017-10-21,6.5,156.0,0.0
2017-10-22,11.5,0.6,0.0
2017-10-23,10.0,0.0,0.0
2017-10-24,10.5,0.0,0.0
2017-10-25,8.3,1.8,0.0
2017-10-26,10.5,0.0,0.0
2017-10-27,9.5,0.0,0.0
2017-10-28,10.5,0.2,0.0
2017-10-29,9.8,0.0,0.0
2017-10-30,7.8,0.0,0.0
2017-10-31,6.3,0.2,0.0
2017-11-01,7.8,1.0,0.0
2017-11-02,6.0,210.0,0.0
2017-11-03,2.5,0.4,0.0
2017-11-04,-1.3,0.5,0.0
2017-11-05,3.0,0.0,0.0
2017-11-06,1.5,0.0,0.0
2017-11-07,3.0,0.0,0.0
2017-11-08,6.3,1.2,0.0
2017-11-09,6.0,6.4,0.0
2017-11-10,9.3,6.0,0.0
2017-11-11,5.3,20.6,0.0
2017-11-12,9.0,18.4,0.0
2017-11-13,9.0,68.0,0.0
2017-11-14,8.5,5.8,0.0
2017-11-15,9.5,7.6,0.0
2017-11-16,7.5,53.0,0.0
2017-11-17,6.8,2.2,0.0
2017-11-18,6.8,10.1,0.0
2017-11-19,7.3,72.4,0.0
2017-11-20,7.0,10.0,0.0
2017-11-21,6.5,33.0,0.0
2017-11-22,11.5,13.7,0.0
2017-11-23,11.8,12.0,0.0
2017-11-24,9.0,62.0,0.0
2017-11-25,10.8,10.6,0.0
2017-11-26,9.3,63.0,0.0
2017-11-27,5.8,14.0,0.0
2017-11-28,7.0,6.0,0.0
2017-11-29,4.0,11.4,0.0
2017-11-30,7.3,88.0,0.0
2017-12-01,7.3,17.6,0.0
2017-12-02,4.5,6.6,0.0
2017-12-03,2.8,0.6,0.0
2017-12-04,3.8,0.0,0.0
2017-12-05,2.5,0.0,0.0
2017-12-06,2.3,0.0,0.0
2017-12-07,3.0,0.6,0.0
2017-12-08,2.3,0.8,0.0
2017-12-09,2.5,0.0,0.0
2017-12-10,3.5,0.0,0.0
2017-12-11,4.0,0.6,0.0
2017-12-12,3.8,0.0,0.0
2017-12-13,4.0,0.0,0.0
2017-12-14,1.5,0.0,0.0
2017-12-15,4.8,0.6,0.0
2017-12-16,4.0,19.0,0.0
2017-12-17,6.0,40.2,0.0
2017-12-18,6.5,10.8,0.0
2017-12-19,2.3,22.8,0.0
2017-12-20,1.8,1.0,0.0
2017-12-21,-0.5,0.0,0.0
2017-12-22,2.8,0.0,0.0
2017-12-23,-3.0,0.0,0.0
2017-12-24,-3.3,0.0,0.0
2017-12-25,0.5,0.0,0.0
2017-12-26,-0.3,0.0,0.0
2017-12-27,0.0,2.8,0.0
2017-12-28,2.5,43.8,0.0
2017-12-29,3.3,29.2,0.0
2017-12-30,2.8,0.0,0.0
2017-12-31,-0.3,0.0,0.0
2018-01-01,-1.3,0.0,0.0
2018-01-02,-1.0,0.0,0.0
2018-01-03,0.3,0.0,0.0
2018-01-04,3.3,0.0,0.0
2018-01-05,7.0,36.0,0.0
2018-01-06,6.3,5.0,0.0
2018-01-07,5.8,25.8,0.0
2018-01-08,6.5,5.0,0.0
2018-01-09,7.0,1.2,0.0
2018-01-10,6.0,0.0,0.0
2018-01-11,4.3,23.0,0.0
2018-01-12,4.3,25.8,0.0
2018-01-13,7.0,8.0,0.0
2018-01-14,3.5,0.6,0.0
2018-01-15,5.3,2.0,0.0
2018-01-16,8.8,3.8,0.0
2018-01-17,8.5,11.3,0.0
2018-01-18,8.8,9.2,0.0
2018-01-19,6.8,37.2,0.0
2018-01-20,6.3,25.0,0.0
2018-01-21,8.0,10.4,0.0
2018-01-22,7.8,0.8,0.0
2018-01-23,5.3,19.4,0.0
2018-01-24,7.5,17.0,0.0
2018-01-25,3.3,15.2,0.0
2018-01-26,4.8,14.2,0.0
2018-01-27,4.3,11.6,0.0
2018-01-28,6.0,51.4,0.0
2018-01-29,8.8,34.6,0.0
2018-01-30,5.8,0.6,0.0
2018-01-31,3.8,10.2,0.0
2018-02-01,5.0,12.0,0.0
2018-02-02,7.8,16.8,0.0
2018-02-03,9.0,57.0,0.0
2018-02-04,11.0,9.4,0.0
2018-02-05,8.3,1.2,0.0
2018-02-06,6.0,8.0,0.0
2018-02-07,8.0,13.0,0.0
2018-02-08,9.8,0.8,0.0
2018-02-09,5.0,0.8,0.0
2018-02-10,2.0,0.0,0.0
2018-02-11,4.0,0.0,0.0
2018-02-12,1.0,0.0,0.0
2018-02-13,1.8,10.0,0.0
2018-02-14,4.0,0.0,0.0
2018-02-15,2.0,8.0,0.0
2018-02-16,6.8,12.4,0.0
2018-02-17,5.5,20.1,0.0
2018-02-18,1.3,0.0,0.0
2018-02-19,-2.5,0.0,0.0
2018-02-20,0.5,0.0,0.0
2018-02-21,-3.5,0.0,1.0
2018-02-22,-1.3,0.8,0.0
2018-02-23,-1.8,0.0,25.0
2018-02-24,3.3,4.0,0.0
2018-02-25,4.5,0.0,0.0
2018-02-26,2.8,2.0,0.0
2018-02-27,5.3,4.8,0.0
2018-02-28,3.5,9.6,0.0
2018-03-01,8.0,2.0,0.0
2018-03-02,2.5,8.0,0.0
2018-03-03,5.0,0.0,0.0
2018-03-04,5.3,1.5,0.0
2018-03-05,4.0,0.0,0.0
2018-03-06,6.5,0.0,0.0
2018-03-07,3.3,4.0,0.0
2018-03-08,6.3,29.9,0.0
2018-03-09,7.5,1.0,0.0
2018-03-10,4.8,0.0,0.0
2018-03-11,6.5,0.0,0.0
2018-03-12,9.0,0.0,0.0
2018-03-13,8.0,8.6,0.0
2018-03-14,10.0,1.2,0.0
2018-03-15,6.0,0.0,0.0
2018-03-16,6.5,0.0,0.0
2018-03-17,9.8,0.6,0.0
2018-03-18,5.8,0.4,0.0
2018-03-19,7.3,0.0,0.0
2018-03-20,7.0,0.0,0.0
2018-03-21,7.5,9.6,0.0
2018-03-22,7.8,15.4,0.0
2018-03-23,6.3,0.6,0.0
2018-03-24,6.0,0.6,0.0
2018-03-25,5.3,14.4,0.0
2018-03-26,6.5,58.6,0.0
2018-03-27,11.3,9.6,0.0
2018-03-28,9.8,0.0,0.0
2018-03-29,7.5,5.0,0.0
2018-03-30,10.5,0.0,0.0
2018-03-31,6.8,0.0,0.0
2018-04-01,7.8,0.0,0.0
2018-04-02,5.0,0.2,0.0
2018-04-03,7.8,0.4,0.0
2018-04-04,6.5,12.6,0.0
2018-04-05,8.0,26.0,0.0
2018-04-06,12.3,7.8,0.0
2018-04-07,11.3,19.1,0.0
2018-04-08,10.3,4.8,0.0
2018-04-09,11.8,0.6,0.0
2018-04-10,11.3,3.0,0.0
2018-04-11,9.8,18.2,0.0
2018-04-12,9.0,9.0,0.0
2018-04-13,9.0,16.2,0.0
2018-04-14,9.3,18.2,0.0
2018-04-15,9.5,4.4,0.0
2018-04-16,8.8,19.0,0.0
2018-04-17,10.8,0.0,0.0
2018-04-18,9.8,0.0,0.0
2018-04-19,8.5,0.0,0.0
2018-04-20,10.8,11.0,0.0
2018-04-21,11.3,0.2,0.0
2018-04-22,8.0,0.0,0.0
2018-04-23,10.0,0.0,0.0
2018-04-24,11.3,0.0,0.0
2018-04-25,13.5,0.0,0.0
2018-04-26,14.3,0.0,0.0
2018-04-27,12.5,0.0,0.0
2018-04-28,11.5,21.2,0.0
2018-04-29,11.0,1.6,0.0
2018-04-30,12.5,0.0,0.0
2018-05-01,11.5,0.0,0.0
2018-05-02,13.3,0.0,0.0
2018-05-03,15.0,0.0,0.0
2018-05-04,14.3,0.0,0.0
2018-05-05,12.5,0.0,0.0
2018-05-06,17.5,0.0,0.0
2018-05-07,16.5,0.0,0.0
2018-05-08,14.8,1.0,0.0
2018-05-09,17.5,0.0,0.0
2018-05-10,13.0,0.0,0.0
2018-05-11,14.3,0.0,0.0
2018-05-12,14.0,0.0,0.0
2018-05-13,18.8,0.0,0.0
2018-05-14,19.3,0.0,0.0
2018-05-15,18.0,0.0,0.0
2018-05-16,17.5,0.0,0.0
2018-05-17,15.3,0.0,0.0
2018-05-18,16.5,0.0,0.0
2018-05-19,16.8,0.0,0.0
2018-05-20,17.5,0.0,0.0
2018-05-21,17.5,0.0,0.0
2018-05-22,16.5,0.0,0.0
2018-05-23,17.8,0.0,0.0
2018-05-24,17.5,0.0,0.0
2018-05-25,16.0,0.0,0.0
2018-05-26,15.3,0.0,0.0
2018-05-27,17.5,0.0,0.0
2018-05-28,17.0,0.0,0.0
2018-05-29,16.8,0.0,0.0
2018-05-30,14.0,0.0,0.0
2018-05-31,14.3,0.0,0.0
2018-06-01,14.0,0.0,0.0
2018-06-02,16.8,0.6,0.0
2018-06-03,16.0,0.5,0.0
2018-06-04,14.8,0.6,0.0
2018-06-05,13.3,0.0,0.0
2018-06-06,15.5,0.0,0.0
2018-06-07,13.8,4.0,0.0
2018-06-08,17.8,16.8,0.0
2018-06-09,18.5,0.3,0.0
2018-06-10,16.8,0.8,0.0
2018-06-11,13.8,0.0,0.0
2018-06-12,12.5,4.2,0.0
2018-06-13,14.8,13.2,0.0
2018-06-14,16.5,0.0,0.0
2018-06-15,17.0,0.0,0.0
2018-06-16,19.5,0.0,0.0
2018-06-17,18.8,0.0,0.0
2018-06-18,21.8,0.0,0.0
2018-06-19,21.5,0.0,0.0
2018-06-20,22.5,0.0,0.0
2018-06-21,18.8,0.0,0.0
2018-06-22,17.5,0.0,0.0
2018-06-23,17.0,0.0,0.0
2018-06-24,17.3,12.0,0.0
2018-06-25,17.3,1.0,0.0
2018-06-26,18.3,0.0,0.0
2018-06-27,17.3,1.0,0.0
2018-06-28,17.5,1.0,0.0
2018-06-29,16.5,3.0,0.0
2018-06-30,16.0,1.8,0.0
2018-07-01,19.0,0.4,0.0
2018-07-02,17.3,0.0,0.0
2018-07-03,16.5,0.0,0.0
2018-07-04,18.5,0.0,0.0
2018-07-05,21.3,0.0,0.0
2018-07-06,21.3,3.6,0.0
2018-07-07,20.3,0.6,0.0
2018-07-08,17.3,0.0,0.0
2018-07-09,16.8,12.0,0.0
2018-07-10,18.8,2.0,0.0
2018-07-11,17.8,0.0,0.0
2018-07-12,18.8,0.0,0.0
2018-07-13,21.0,0.0,0.0
2018-07-14,21.0,0.0,0.0
2018-07-15,20.5,0.0,0.0
2018-07-16,20.8,0.0,0.0
2018-07-17,21.8,0.0,0.0
2018-07-18,19.5,0.0,0.0
2018-07-19,17.5,0.0,0.0
2018-07-20,17.5,0.0,0.0
2018-07-21,,0.0,0.0
2018-07-22,,0.0,0.0
2018-07-23,21.5,0.0,0.0
2018-07-24,21.8,0.0,0.0
2018-07-25,22.8,0.0,0.0
2018-07-26,22.0,0.0,0.0
2018-07-27,22.8,0.0,0.0
2018-07-28,22.5,0.0,0.0
2018-07-29,22.3,0.0,0.0
2018-07-30,24.0,0.0,0.0
2018-07-31,21.3,0.0,0.0
2018-08-01,20.0,0.0,0.0
2018-08-02,18.3,0.0,0.0
2018-08-03,20.0,0.0,0.0
2018-08-04,16.3,0.0,0.0
2018-08-05,21.0,0.0,0.0
2018-08-06,22.0,0.0,0.0
2018-08-07,22.0,0.0,0.0
2018-08-08,23.5,0.0,0.0
2018-08-09,24.0,0.0,0.0
2018-08-10,22.0,0.0,0.0
2018-08-11,20.5,4.1,0.0
2018-08-12,19.3,0.4,0.0
2018-08-13,17.8,0.0,0.0
2018-08-14,20.5,0.0,0.0
2018-08-15,20.8,0.0,0.0
2018-08-16,19.5,0.0,0.0
2018-08-17,17.5,0.0,0.0
2018-08-18,18.0,0.0,0.0
2018-08-19,17.0,0.0,0.0
2018-08-20,20.0,0.0,0.0
2018-08-21,21.0,0.0,0.0
2018-08-22,19.8,0.0,0.0
2018-08-23,17.3,0.0,0.0
2018-08-24,17.5,0.0,0.0
2018-08-25,13.0,2.6,0.0
2018-08-26,17.0,0.8,0.0
2018-08-27,17.0,0.0,0.0
2018-08-28,17.5,0.0,0.0
2018-08-29,17.5,1.4,0.0
2018-08-30,18.3,0.0,0.0
2018-08-31,17.8,0.0,0.0
2018-09-01,16.5,20.4,0.0
2018-09-02,16.0,0.0,0.0
2018-09-03,18.3,0.0,0.0
2018-09-04,15.0,0.0,0.0
2018-09-05,16.5,0.0,0.0
2018-09-06,18.5,0.0,0.0
2018-09-07,17.8,1.6,0.0
2018-09-08,16.8,9.6,0.0
2018-09-09,15.3,6.4,0.0
2018-09-10,15.0,0.0,0.0
2018-09-11,15.5,4.0,0.0
2018-09-12,15.8,5.0,0.0
2018-09-13,16.3,1.4,0.0
2018-09-14,15.8,4.0,0.0
2018-09-15,14.8,16.2,0.0
2018-09-16,15.0,16.4,0.0
2018-09-17,14.8,1.0,0.0
2018-09-18,14.5,0.0,0.0
2018-09-19,13.0,0.2,0.0
2018-09-20,13.8,33.5,0.0
2018-09-21,14.0,23.8,0.0
2018-09-22,17.3,11.0,0.0
2018-09-23,14.0,0.6,0.0
2018-09-24,11.5,0.0,0.0
2018-09-25,11.5,0.0,0.0
2018-09-26,13.0,0.0,0.0
2018-09-27,13.3,0.0,0.0
2018-09-28,16.5,0.0,0.0
2018-09-29,14.8,8.0,0.0
2018-09-30,11.8,21.4,0.0
2018-10-01,15.3,8.0,0.0
2018-10-02,14.8,0.6,0.0
2018-10-03,5.8,0.0,0.0
2018-10-04,8.0,0.0,0.0
2018-10-05,9.5,1.8,0.0
2018-10-06,9.0,0.0,0.0
2018-10-07,11.0,9.0,0.0
2018-10-08,11.5,0.6,0.0
2018-10-09,12.8,0.0,0.0
2018-10-10,11.8,0.0,0.0
2018-10-11,10.5,0.0,0.0
2018-10-12,10.8,0.0,0.0
2018-10-13,9.3,0.0,0.0
2018-10-14,7.8,0.0,0.0
2018-10-15,8.8,0.0,0.0
2018-10-16,10.0,0.0,0.0
2018-10-17,11.3,0.0,0.0
2018-10-18,11.0,0.0,0.0
2018-10-19,11.8,0.0,0.0
2018-10-20,8.8,0.0,0.0
2018-10-21,9.3,0.0,0.0
2018-10-22,9.0,0.0,0.0
2018-10-23,8.0,1.0,0.0
2018-10-24,8.8,4.0,0.0
2018-10-25,12.0,22.4,0.0
2018-10-26,15.0,1.2,0.0
2018-10-27,,10.2,0.0
2018-10-28,,27.2,0.0
2018-10-29,9.3,12.0,0.0
2018-10-30,10.5,18.5,0.0
2018-10-31,10.0,12.0,0.0
2018-11-01,11.8,45.4,0.0
2018-11-02,14.5,1.0,0.0
2018-11-03,9.8,46.0,0.0
2018-11-04,10.0,17.0,0.0
2018-11-05,10.3,0.4,0.0
2018-11-06,9.0,0.8,0.0
2018-11-07,6.8,0.0,0.0
2018-11-08,5.3,5.6,0.0
2018-11-09,4.8,4.0,0.0
2018-11-10,8.5,0.0,0.0
2018-11-11,3.8,0.0,0.0
2018-11-12,4.5,0.0,0.0
2018-11-13,5.8,22.0,0.0
2018-11-14,10.0,7.4,0.0
2018-11-15,8.8,19.2,0.0
2018-11-16,11.5,0.0,0.0
2018-11-17,4.5,0.0,0.0
2018-11-18,3.3,0.0,0.0
2018-11-19,4.0,0.0,0.0
2018-11-20,4.3,0.0,0.0
2018-11-21,7.5,24.4,0.0
2018-11-22,8.5,19.4,0.0
2018-11-23,9.0,5.2,0.0
2018-11-24,6.0,3.2,0.0
2018-11-25,6.3,9.0,0.0
2018-11-26,8.8,51.0,0.0
2018-11-27,12.8,8.0,0.0
2018-11-28,8.3,11.0,0.0
2018-11-29,8.0,1.4,0.0
2018-11-30,7.3,4.0,0.0
2018-12-01,6.8,0.8,0.0
2018-12-02,3.5,0.0,0.0
2018-12-03,2.5,0.0,0.0
2018-12-04,0.0,0.0,0.0
2018-12-05,0.5,0.0,0.0
2018-12-06,-0.8,0.0,0.0
2018-12-07,-1.3,0.6,0.0
2018-12-08,2.0,2.4,0.0
2018-12-09,4.5,38.0,0.0
2018-12-10,8.0,13.2,0.0
2018-12-11,8.0,35.0,0.0
2018-12-12,4.8,28.0,0.0
2018-12-13,7.3,67.0,0.0
2018-12-14,8.5,1.0,0.0
2018-12-15,5.3,6.8,0.0
2018-12-16,7.5,11.0,0.0
2018-12-17,8.8,14.8,0.0
2018-12-18,9.0,13.6,0.0
2018-12-19,7.5,11.0,0.0
2018-12-20,10.3,16.0,0.0
2018-12-21,6.3,0.0,0.0
2018-12-22,4.8,12.0,0.0
2018-12-23,6.0,21.0,0.0
2018-12-24,4.8,0.0,0.0
2018-12-25,4.5,2.0,0.0
2018-12-26,3.3,5.2,0.0
2018-12-27,2.5,0.0,0.0
2018-12-28,6.8,30.0,0.0
2018-12-29,7.3,8.6,0.0
2018-12-30,5.0,0.0,0.0
2018-12-31,2.0,0.0,0.0
